المپیک	اسمعا=المپیک+رسمی
خودرو	اسمعا=خودرو+رسمی
تو	حفربط=تو+رسمی
اسپایکوژن	اسمخا=اسپایکوژن+رسمی
روحانی	اسمفا=روحانی+رسمی
گنج‌زاده	اسمفا=گنج‌زاده
لایک	اسمعا=لایک+رسمی
ایرانشهری	اسمعا=ایرانشهری+رسمی
میرز	اسمفا=میرز+رسمی
صدام	اسنفا=صدام+رسمی
پوپولیستی	صفت=پوپولیستی+رسمی
اسپوتنیک	اسمخا=اسپوتنیک+رسمی
سینوفام	اسمخا=سینوفارم+رسمی
تروریستان	اسمعا=تروریست+جان+رسمی
طالب	اسمخا=طااب+رسمی
دهی	پسوند
نظامیان	صفت=نظامی+جان+رسمی
ظاهرا	قید=ظاهرا+رسمی
گزارشهایی	خطا=گزارشهای
طلوع	اسمخا=طلوع+رسمی
پناه‌جویان	اسمعا=پناه‌جو+رسمی
بی	منقطع=بی‌انصافی
انصافی	منقطع=بی‌انصافی
خصمانه	صفت=خصمانه+رسمی
گیرد	ف. ح. س=گیر+ش۳+رسمی
تکواندوی	اسمعا=تکواندو+اضافه+رسمی
بن	منقطع=بن+بست
بندی	پسوند
تازه	منقطع=تازه+ساز
ساز	پسوند
پایتخهای	تایپی=پایتخت‌های
نا	منقطع=ناامن
امن	ناامن
اندازی	پسوند
راهور	اسمعا=راهور+رسمی
عنابستانی	اسمفا=عنابستانی+رسمی
سیلی	اسمعا=سیلی+رسمی
رایی	اسمعا=رای+اضافه+رسمی
رای	اسمعا=رای+رسمی
فایزر	اسمخا=فایزر+رسمی
مدرنا	اسمعا=مدرنا+رسمی
تامین	قید=تامین+رسمی
بینی	پسوند
تولیدکنندگان	اسمعا=تولیدکننده+جان+رسمی
بدلیل	قید=به‌دلیل+رسمی
آنرا	چسبیده=آن+را
ابتکار	اسمفا=ابتکار+رسمی
‌متاسفانه	قید=متاسفانه+رسمی
دانایان	صفت=دانا+جان+رسمی
عنگلیس	تایپی=انگلیس+رسمی
دزدان	صفت=دزد+جان+رسمی
آخرین	صفت=آخرین+رسمی
پهلوی	اسمفا=پهلوی+رسمی
مسؤلان	اسمعا=مسئول+چان+رسمی
سوزن‌اش	تایپی=سوزنش
بطور	قید=بطور+رسمی
بی‌سوزن	چسبیده=بی+سوزن
واقعا	قید=واقعا+رسمی
لیبل	اسمعا=لیبل+رسمی
روند	اسمعا=روند+رسمی
تولیه	تایپی=تولید+رسمی
خیر	جملک=خیر+رسمی
سینوفارم	اسمخا=سینوفارم+رسمی
همینطوری	قید=همیتطوذی+رسمی
لایسنس	اسمعا=لایسنس+رسمی
تایید	اسمعا=تایید+رسمی
مادرنا	اسمعا=مادرنا+رسمی
درمانی	صفت=درمانی+رسمی
بازی	پسوند
چ	پرسش=چه
بسته	منقطع=بسته‌بنوی+رسمی
یکم	قید=یکم
کلین‌روم	اسمعا=کلین‌روم+رسمی
غیرحساس	صفت=غیرحساس+رسمی
گرید	صفت=گرید+رسمی
هایی	جها=ها+نم+رسمی
آشپزخونه‌ی	اسمعا=آشپزخونه+اضافه+رسمی
وایت	اسمفا=وایت+رسمی
مجهز	منقطع=مجهزتره
خوب	جملک=خوب+رسمی
گاون	اسمعا=گاون+رسمی
شیلد	اسمعا=شیلد+رسمی
دوربین	اسمعا=دوربین+رسمی
بخدا	جملک=به‌خدا+رسمی
غذاودارو	چسبیده=غذا+و+دارو
کووید	اسمعا=کووسد+رسمی
خوش	ممقطع=خوش+قولی
اند	وربطی۶
بهانهٔ	اسمعا=بهانه+اضافه+رسمی
نخبگان	اسمعا=نخبه+جان+رسمی
دلاوری	اسمفا=دلاوری+رسمی
رهبری	اسمخا=رهبذی+رسمی
قاضی	منقطع=اسمفا=قاضی‌زاده‌هاشمی
زاده	منقطع=اسمفا=قاضی‌زاده‌هاشمی
هاشمی	منقطع=اسمفا=قاضی‌زاده‌هاشمی
حتا	تایپی=حتی
وزیرکار	چسبیده=وزیر+کار
شستا	اسمخا=شستا+رسمی
وپتروشیمی	چسبیده=و+پتروشیمی
آی	شاخص=آقای+رسمی
یکنفر	چسبیده=یک+نفر
فسادزاست	اسمعا=فسادزا+ربطی۳+رسمی
سایمون	اسمشخ=سایمون+رسمی
شرکلیف	اسمفا=شرکلیف+رسمی
غیر	منقطع=غیراینصورت=قید=غیراینصورت+رسمی
اینصورت	منقطع=غیراینصورت=قید=غیراینصورت+رسمی
متجاوزان	صفت=متجاوز+جان+رسمی
آذر	اسمعا=آذر+رسمی
وحشیانه	صفت=وحشیانه+رسمی
نیک	منقطع=نیک‌بختی
آنجاست	اشاره=آنجا+وربطی۳
پیشه	منقطع=اسمفا+پیشه‌وری
هم‌او	چسبیده=هم+او
پس	منقطع=پس‌گردنی
بسم	منقطع=بسم‌الله+رسمی
سرجاش	چسبیده=سر+جاش
هایشان	جها+وشخصی۶
تار	منقطع=تارومار
قوام	اسمفا=قوام+رسمی
مصدق	اسمفا=مصدق+رسمی
پیروزی	اسمعا=پیروزی+رسمی
مقدمهٔ	صفت=مقدمه+رسمی
رانتی	صفت=رانتی+رسمی
شفافارمد	اسمخا=شفافارمد+رسمی
اکتوور	اسمخا=اکتوور+رسمی
نمی‌فرختند	تایپی=نمی‌فروختند=منفی+ف. م. ا=فروخت+ش۶+رسمی
سن	منقطع=سن‌موریس=اسمجا=سن‌موریس+رسمی
ج	خلاصه=جمهوری+اسلامی
لمان	اسمجا=لمان+رسمی
خارج	اسمعا=خارج+رسمی
علم	اسمفا=علم+رسمی
ویاگرا	اسمعا=ویاگرا+رسمی
میدادنند	تایپی=می‌دانند=ف. ح. ا=دان+ش۶+رسمی
والله	جملک=والله+رسمی
دولو	اسمفا=دولو+رسمی
بایون‌تک	اسمخا=بایون‌تک+رسمی
ماینس	اسمجا=ماینس+رسمی
ماربورگ	اسمجا=ماربورگ+رسمی
جوانان	اسمعا=جوان+جان+رسمی
متفقین	اسمعا=متفقین+رسمی
توهین	منقطع=توهین‌آمیز
آمیز	منقطع=توهین‌آمیز
خود	منقطع=خووبرتربینی
برتر	منقطع=خووبرتربینی
ترمیم‌نیافته	چسبیده=ترمیم+نیافته
اشغالگران	صفت=اشغالگر+جان+رسمی
چند	مبهم=چند+رسمی
قلی‌خان	اسمفا=قلی‌خان+رسمی
رئیسعلی	اسمشخ=رئیس‌علی+رسمی
دلواری	اسمفا=دلواری+رسمی
بخاطر	چسبیده=به+خاطر
وقیحانه	صفت=وقیحانه+رسمی
نوز	اسمفا=نوز+رسمی
نوستالژی	اسمعا=نوستالژی+رسمی
نوسفیر	چسبیده=نو+سفیر
بی‌وژدان‌ها	تایپی=بی‌وجدان‌ها
بگوئیم	التزامی=گو+ش۵+رسمی
استیج	اسمعا=استیج+رسمی
استندآپ	اسمعا=استند‌آپ+رسمی
لوکیشن	اسمعا=لوکیشن+رسمی
آنموقع	چسبیده=آن+موقع
اکانت	اسمعا=اکانت+رسمی
همانموقع	چسبیده=همان+موقع
کپشن	اسمعا=کپشن+رسمی
انگلیسی	اسمعا=انگلیسی+رسمی
امیرعبداللهیان	چسبیده=امیر+عبداللهیان
اصلاح‌طلبان	اسمعا=اصلاح‌طلب+جان+رسمی
سلبریتی‌ها	اسمعا=سلبریتی‌ها+رسمی
محرز	اسمفا=محرز+رسمی
بشکست	ادبی=شکست
توی	حرفربط=تو+اضافه+رسمی
دست‌بزنی	چسبیده=دست+بزنی
یکباره	قید=یکیاره+رسمی
ملیگرانه‌تان	صفت=ملی‌گرانه+وشخصی۴+رسمی
پدموس	چسبیده=پد+موس
هشتگ	اسمعا=هشتگ+رسمی
اونهایکه	تایپی=اونهایی‌که
مون	وشخصی۴
ر	تایپی=رو
عه	وربطی۳
بدارید	التزامی+دار+ش۵
نه	ممقطع=نه‌تنها
موسسه	اسمعا=موسسه+رسمی
رازی	اسمخا=رازی+رسمی
پاستور	اسمخا=پاستور+رسمی
زالی	اسمفا=زالی+رسمی
آواتودی	اسمخا=آواتودی+رسمی
کرملین	اسمجا=کرملین+رسمی
پر	منقطع=پرعوارض‌ترین
تائو	اسمشخ=تائو+رسمی
ماهان	اسمشخ=ماهان+رسمی
همه‌گیرشناسی	اسمعا=همه‌گیرشناسی+رسمی
شناسی	پسوند
پلتفرم	اسمعا=پلتفرم+رسمی
ساختمونه	اسمعا=ساختمون+وربطی۳
فضای‌مجازی	چسبیده=فضای+مجازی
بازنشر	صفت=بازنشر+رسمی
شائبات	اسمعا=شائبات(جات)+رسمی
افکار‌عمومی	چسبیده=افکار+عمومی
درهر	چسبیده=در+هر
بهاره‌جان	چسبیده=بهاره+جان
یحتمل	قید=یحتمل+رسمی
واکسن‌زدن	چسبیده=واکسن+زدن
یک‌درصدجمعیت	چسبیده=یک+درصد+جمعیت
فایز	تایپی=فایزر
جانسون	اسمخا=جانسون
نادانى	صفت=نادانی+رسمی
اش	وشخصی۳
تئورى	اسمعا=تئوری+رسمی
ایرانى	صفت=ایرانی+رسمی
آمریکایى	صفت=آمریکائی+رسمی
جهانى	صفت=جهانی+رسمی
بى	ممقطع=بی‌جهت
بایدن	اسمفا=بایدن+رسمی
اردوغان	اسمفا=اردوغان+رسمی
بزاریم	التزامی=ذار+ش۵
پلاسیبو	اسمعا=پلاسیبو+رسمی
واکسن‌نما	اسمعا=واکسن‌نما+رسمی
غیرکمی	صفت=غیرکمی+رسمی
موثر	اسمعا=موثر+رسمی
غیرقابل	ممقطع=غیرقابل+اندازه‌گیری
لازم‌به‌ذکر	چسبیده=لازه+به+ذکر
پروتین	تتیپی=پروتئین
اسپایک	اسمعا=اسپایک
در	منقطع=درحالیکه=قید
حالیکه	منقطع=درحالیکه=قید
کوید	منقطع=کوید۱۹
ریتوییت	اسمعا=ریتوئت+رسمی
کنندگان	پسوند
Placebo	پلاسیبو
منوتو‌	اسمخا=منوتو+رسمی
غنی	اسمفا=غنی+رسمی
حق‌اش	اسمعا=حق+وشخصی۳
تهش	اسمعا=ته+وشخصی۳
پیمانان	اسمعا=پیمان+جان+رسمی
دوباره‌ای	صفت=دوباره+نم+رسمی
جربان	تایپی=جریان
اسلامگرایان	اسمعا=اسلامگرا+جان+رسمی
راست‌گرایانه	صفت=راستگرایانه+رسمی
قدرت	منقطع=قدرت‌نمایی
طیب	اسمشخ=طیب+رسمی
طالبانیسم	اسمعا=طالبانیسم+رسمی
نئولیبرالیسم	اسمعا=نئولیبرالیسم+رسمی
ورژن	اسمعا=ورژن+رسمی
اخوان	منقطع=اخوان‌المسلمین
تتلو	اسمشخ=تتلو+رسمی
نئوطالبان	اسمعا=نئوطالبان+رسمی
المسلمین	اسمعا=المسلمین
سفید‌کردن	چسبیده=سفید+کردن
ژیار	اسمشخ=ژیار+رسمی
گل	اسمفا=گل+رسمی
نمی‌فرسته	منفی+ف.ح.ا=فرست+ش۳
سعودی	اسمعا=سعودی+رسمی
کورد	اسمعا=کورد+رسمی
ماهسون	اسمشخ=ماهسون+رسمی
قرمیزی	اسمشخ=قرمیزی+رسمی
سناریوی	اسمعا=سناریو+اضافه+رسمی
بیندازند	التزامی=انداز+ش۶+رسمی
ملت	اسمعا=ملت‌سازی+رسمی
هرج	منقطع=هرجومرج
ایرانی	اسمفا=ایرانی+رسمی
نداجا	مخفف=نیروی‌دریایی‌ارتش‌جمهوری‌اسلامی‌ایران+رسمی
اثنی‌عشری	صفت=اثنی‌عشری+رسمی
سلیبریتی	اسمعا=سلبریتی+رسمی
علاقه‌ی	اسمعا=علاقه(جم)+اضافه+رسمی
چندسال	چسبیده=چند+ساا
خضرحیدری	اسمشخ=خضرحیدری
شاهد	اسمشخ=شاهد
علوی	اسمشفا=علوی
آذربایجان‌جنوبی	چسبیده=آذذبایجان+جنوبی
حرومی‌هایی	صفت=حرومی+جها+نم
طلب‌های	اشتقاقی=طلب+جها+اضافه+رسمی
پان‌ترک	اسمعا=پانترک+رسمی
طلبانه‌ی	پ.اشتقاقی=طلبانه+اضافه+رسمی
اینتل	مخفف=اینترنشنال
تجزیه‌طلبان	صفت=تجزیه‌طلب+جان+رسمی
احمقانه‌ای	صفت=اخمقانه+نم+رسمی
پایین‌بودن	چسبیده=پایین+بودن
امام‌حسین	چسبیده=امام+حسین
متوفیان	صفت=متوفی+جان+رسمی
رادیوفردا	اسمخا=رادیوفردا+رسمی
قومگرایان	صفت=قومگرا+جان+رسمی
وطن‌دوست‌اند	اسنعا=وطن‌دوست+وربطی۶+رسمی
اخیرا	قید=اخیرا+رسمی
شمالغربی	چسبیده=شمال+غربی
تجزبه‌طلب‌ها	صفت=تجزیه‌طلب+جها+رسمی
شو	وشخصی۳+را
ستیزی	پ.اشتقاقی=ستیز+ی
طلبی	پ.اشتقاق=طلب+ی+رسمی
منافی	اسمفا=منافی+رسمی
حقیقت	منقطع=اسمفا=حقیقت+نژاد
غفوری	منقطع=اسمفا=غفوری‌آذر
خمینی	اسمفا=خمینی+رسمی
بی‌صوات	غ.نویسی=صفت=بی‌سواد
مصی	غ.نویسی=اسمشخ=مسیح+رسمی
فرح‌بودگیش	چسبیده=فرح+بودگیش
بناهای	اسمعا=بنا+جها+اضافه+رسمی
همونجا	قید=همونجا
گوه‌مسلمون	چسبیده=گروه+مسلمون
ریپورت	اسمعا=ریپورت
فرح	اسمشخ=فرح+رسمی
ملانیا	اسمشخ=ملانیا+رسمی
ترامپ	ایمفا=ترامپ+رسمی
می‌دارند	ف.ح.ا=دار+ش۶+رسمی
احمقانه‌ای‌ست	صفت=احمقانه+نم+وربطی۳+رسمی
خودپرستانه	صفت=خودپرستانه+رسمی
پیشونیش	اسمعا=پیشونی+ش۳
همین‌قاعده‌ی	چسبیده=همین+قاعده‌ی
شاه‌میوه	چسبیده=شاه+میوه
شاه‌دزد	چسبیده=شاه+دزد
شاتوت	اسمعا=شاتوت+رسمی
عقلان	اسمعا=عقل+جان+رسمی
پهلویست‌ها	اسمعا=پهلویست+جها
ان	وربطی۶
فرهنگ	اسمفا=فرهنگ+رسمی
فروشی	پ.اشتقاقی=فروش+ی
هویدا	اسمفا=هویدا+رسمی
امکان	تایپی=اسمعا=اماکن+رسمی
هرجایی	چسبیده=هر+جا+نم
زبل‌بازی	چسبیده=زبل+بازی
شیادی	اسمعا=شیادی+رسمی
درس	اسمعا=درس=انگلیسی
کش	پ.اشتقتقی=کش
متحدینی	اسمعا=متحد+جین+رسمی
چندده	چسبیده=چند+ده
صادارت	اسمعا=صادرات(جم)+رسمی
انتاریو	اسمجا=انتاریو+رسمی
دل‌بستن	چسبیده=دل+بستن
شرق‌هراسی	چسبیده=شرق+هراسی
مراودات	اسمعا=مراودات(جم)+رسمی
سایرکشورها	چسبیده=سایر+کشورها
تحت‌تاثیر	چسبیده=تحت+تاثیر
امثالهم	جملک=امثالهم+رسمی
محدودشدن	چسبیده=محدود+شدن
کسانیکه	چسبیده=کسانی+که
زدهاست	پ.اشتقاقی=زده+جها+وربطی۳
مزخرف‌گویی	چسبیده=مزخرف+گویی
نذری	اسمعا=نذری+رسمی
تلوزیون	اسمعا=تلوزیون+رسمی
پخش	اسمعا=پخش+رسمی
کلیپ	ایمعا=کلیپ+رسمی
هرحال	چسبیده=هر+حال
باپیگیری	چسبیده=با+پیگیری
رسمابه	چیبیده=رسما+به
کننده	پ.اشتقاقی=کننده
رییسی	اسمفا=رئیسی+رسمی
دادنی	پ.اشتقاقی=دادن+ی
و	منقطع=وگرنه
جانمایی	اسمعا=جانمایی+رسمی
بین	منقطع=بین+الملل
دراندازیم	در+ف.ح.س=انداز+ش۵+رسمی
قرارگرفتن	چسبیده=قرار+گرفتن
فیصل	اسمشخ=فیصل
فرحان	اسمفا=فرحان
وزیرخارجه	چسبیده=وزیر+خارجه
المزروعی	اسمفا=المزروعی+رسمی
ابوالغیط	اسمفا=ابوالغیط+رسمی
ویدئوی	اسمعا=ویدئو+اضافه
راشد	اسمفا=راشد+رسمی
ناگریز	تایپی=ناگزیر
عبدالهیان	تایپی=عبداللهیان
کشورک	اسمعا=کشورک+رسمی
شاخاب	اسمعا=شاختب+رسمی
خودتحقیری	اسمعا=خود+تحقیری+رسمی
روی	پ.اشتقاقی=رو+ی
آمیزی	پ.اشتقاقی=آمیز+ی+رسمی
گذشته	اسمعا=گذشته+رسمی
زدایی	پ.اشتقاقی=زدا+ی+رسمی
ساختارشکنانه	چسبیده=ساختار+شکنانه
خلاقانه	صفت=خلاقانه+رسمی
جسورانه‌ای	صفت=جسورانه+نم+رسمی
امیر	شاخص=امیر+رسمی
وپروتکل	چسبیده=و+پروتکل
رتبه‌ترین	منقطع=عالی+رتبه+ترین
وعراق	چسبیده=و+عراق
وشکایتی	چسبیده=و+شکایتی
قاتلان	صفت=قاتل+جان+رسمی
جلوی	صفت=جلو+اضافه
خاکی	اسمعا=خاکی+رسمی
ماکرون	اسمفا=ماکرون+رسمی
عکس‌بازی	اسمعا=عکس+باز(پ.ا)+ی+رسمی
نقدش	اسمعا=نقد+وشخصی۳+رسمی
وزارتخونه	اسمعا=وزارتخونه
نگو	قید=نگو+رسمی
آل	اسمشخ=آل+رسمی
مکتوم	اسمفا=مکتوم+رسمی
مکرون	اسمفا=مکرون+رسمی
پدسگ	غلطنویسی=پدسگ
وا	اسمعا=وا+رسمی
اوناییکه	چسبیده=اونایی+که
نمایندۀ	اسمعا=نماینده+رسمی
متٲسفانه	قید=متاسفانه+رسمی
گفت	منقطع=گفت‌و‌گو
گوی	ب.ف.ح=گو+اضافه
شیخ	شاخص=شیخ+رسمی
تسنیم	اسمخاص=تسنیم
دبی	اسمجا=دبی+رسمی
مقولهٔ	اسمعا=مقوله+رسمی
کل‌کل	اسمعا=کل‌کل+رسمی
بعنوان	چسبیده=به+عنوان
خارجهٔ	اسمعا=خارجه(جم)+رسمی
عزیزی	اسمفا=عزیزی+رسمی
قره	منقطع=قره+باغ
اینستکس	اسمعا=اینستکس+رسمی
…ولی	چسبیده=...+ولی
غرب‌آسیایی	چسبیده=غرب+آسیایی
چشم‌بور	چسبیده=چشم+بور
آمریکای‌جنوبی	چسبیده=آمریکای+جنوبی
نام‌گذاری‌اش	اسمعا=نامگذاری+وشخصی۳
…‌نکبتا	چسبیده=...+نکبتا
رشتو	اسمعا=رشتو+رسمی
جمهوران	اسمعا=جمهور+جان
وپادشاهان	چسبیده=و+پاپشاهان
مخالفین	صفت=مخالف+جین+رسمی
تاثیری	اسمعا=تاثیر+نم+رسمی
نوری	اسمشخ=نوری+رسمی
مالکی	اسمفا=مالکی+رسمی
رؤسکم	عربی=سرهایتان
انقلابیون	صفت=انقلابی+جون+رسمی
ازین	چسبیده=از+این
بی‌عاطفه	صفت=بی‌عاطفه+رسمی
هرکاری	چسبیده=هر+کاری
موقه	تایپی=موقع
مدیا	اسمعا=مدیا+رسمی
ترسناکی	اسمعا=ترسناکی+رسمی
ایدٸولوژی	اسمعا=ایدئولوژی+رسمی
مهدویان‌ها	اسمفا=مهدویان+رسمی
ها	جها
دهنده	پ.اشتقاقی=دهنده
زده	پ.اشتقاقی=زده
سورئال…	صفت=سورئال+رسمی
شونم	وشخصی۶+هم
ایر	اسمفا=ایر+رسمی
زیاتنانه	تایپی=زیارتنامه=اسمعا=زیارتنامه+رسمی
ازگذشت	چسبیده=از+گذشت
وعدم	چسبیده=و+عدم
هک	اسمعا=هک+رسمی
سید	شاخص=سید+رسمی
مفتخوری	اسمعا=مفتخوری+رسمی
اصلاحات‌چی‌ها	صفت=اصلاحات‌چی+جها+رسمی
شون	وشخصی۶
سیدحسن	چسبیده=سید+حسن
تقدس‌انگاری	ا.م=تقدس+انگار+ی
شریف	اسمفا=شریف+رسمی
دبل	صفت=دبل+رسمی
رحیم‌ترین	صفت=رحیم+ترین+رسمی
خارجی‌اش	اسمعا=خارجی+وشخصی۶+رسمی
مکان‌شناسی‌اش	اسمعا=مکان‌شناسی+وشخصی۶
حرف‌زدن	ا.م=حرفف‌زدن+اسم+مصدر+رسمی
درحضور	چسبیده=در+حضور
خلیج‌عربی	چسبیده=خلیج+عربی
دیگه‌ای	مبهم=دیگه+نم
خودسانسوری	ا.م=خودسانسوری+رسمی
پراکنی	پ.اشتقاقی=پراکن+ی
شنیدار	اسمعا=شنیدار+رسمی
الکاظمی	اسمفا=الکاظمی+رسمی
ویدیوی	اسمعا=ویدئو+اضافه+رسمی
طریق	اسمفا=طریق+رسمی
الاسلامه	اسمفا=الاسلامه+رسمی
زجه	اسمعا=زجه+رسمی
روخش	تایپی=روحش=اسمعا=روح+وشخصی۳+رسمی
درجایی	چسبیده=در+جایی
خارجی	صفت=خارجی+رسمی
هیات	اسمعا=هیات+رسمی
بر	پیشوند.ف=بر+رسمی
اونجا	قید=اونجا
سرجای	چسبیده=سر+جای
آبرو	منقطع=آبرو+ریزی
ریزی	پ.اشتقاقی=ریز+ی
نمایی	پ.اشتقاقی=نما+ی+رسمی
ساختارشکنی	ا.م=ساختار+شکن+ی+رسمی
خور	اسمعا=خور+رسمی
حال	اسمعا=حال+رسمی
الخ	قید=الخ+رسمی
قناری	اسمجا=قناری+رسمی
تون	وشخصی۵
ریت	اسمعا=ریت
کارتن‌خواب	ا.م=کارتن+خواب
سربازخبرنگار	چسبیده=سرباز+خبرنگار+رسمی
مرده‌شورخانه	اسمعا=مرده‌شورخانه+رسمی
برادوی	اسمجا=برادوی+رسمی
خودفروش	ا.م=خود+فروش+رسمی
مزدورخبرنگاران	اسمعا=مزدورخبرنگا+جها+رسمی
…اینترنشنال	اسمعا=اینترنشنال+رسمی
موادفروش‌های	ا.م=مواد+فروش+جها+اضافه
مترویی	اسمعا=مترو+نم+رسمی
شاش	اسمعا=شاش+رسمی
معتادین	اسمعا=معتاد+جین+رسمی
گرام	غ.نویسی=گرامی
الکسادرپلاتس	اسمجا=الکسادرپلاتس+رسمی
خرت	تسمعا=خرت+رسمی
گروسر	اسمشخ=گروسر+رسمی
اشترن	اسمفا=اشترن+رسمی
موادفروش‌هان	اسمعا=موادفروش+جها+وربطی۳
بدیهیاته	اسمعا=بدیهیات+وربطی۳
شعورداری	ا.م=شعور+دار+نم+رسمی
پاتایا	اسمجا=پاتایا+رسمی
پاکستانى	صفت=پاکستانی+رسمی
پنجشیر	اسمجا=پنجشیر+رسمی
دلیت	اسمعا=دیلیت
ایرا	چسبیده=ای+را
بزمین	چسبیده=به+زمین
فیک	صفت=فیک+رسمی
چندروزی	چسبیده=چند+روزی
حلبی‌ساز	اسمفا=حلبی‌ساز
امسالشون	تایپی=امثال+شون
برکشور	چسبیده=بر+کشور
ساده‌لوحانی	صفت=ساده+لوح+جان+نم+رسمی
گرایی	ا.م.پ=گرا+ی
شبه	ا.م.پ=شب+ه
شبی	اسمعا=شب+نم+رسمی
مودب	صفت=مودب+رسمی
برکت	اسمخا=برکت+رسمی
دومیه	شماره=دو+ترتیبی+معرفه
فلانی	مبهم=فلان+نم+رسمی
عربده‌کشان	ا.م=عربده+کشان+رسمی
سرچ	اسمعا=سرچ
پیست	اسمعا=پِیست
فعالان	صفت=فعال+جان+رسمی
ارزش‌ترین	ممقطع=بی+ارزش+ترین+رسمی
مسوولان	مسوولان=مسوول+جان+رسمی
گماشتگان	صفت=گماشته+جان+رسمی
داه	خطا=داده=صمفعولی+رسمی
ندری	اسمفا=ندری+رسمی
عردوغان	تایپی=عردوغان
هاش	جها+وشخصی۳
صف	منقطع=صف+کشی
